LRRLRRRLLRRLRRLRRRLRLRRLRRLRRRLRRRLRRLRLLRRLRLRRLRRLRLRLRRLRRLRRRLLRLLRRLRLRRRLRRRLLRRRLRRLRLLRRLRRRLRLLRLRLLRRRLRLRRRLLRRRLRRRLRRLLRLRLLRRLRRLLRRRLLRLLRRLRRRLRLRRRLRLRRLRLRLRRLRRLRRLLLRRRLRLRLLLRRRLLRLRRLRRRLRRLRRLRRRLRRRLRRLLRLLRRLRRRLLRRRLRLRLRRRLRRRLRRLRRLRLLRLRRLLRRLLRRRR

LRV = (NNC, BHD)
KBH = (QJH, RLR)
PFP = (BDN, FDX)
KSV = (LSB, PBK)
NTS = (SCS, SNB)
HTP = (QMM, VCL)
BPC = (QHR, CSB)
XPM = (PHS, TSH)
PQM = (RKM, PDB)
DFC = (CVH, VKJ)
HMP = (KTS, KNG)
PHB = (VXB, DNR)
MTB = (CNX, RTS)
MJD = (QTT, RLF)
HNM = (GJP, GJP)
QLP = (TCN, RRG)
JPD = (VHR, PSM)
KBN = (MLK, RBC)
LDR = (SHT, HDT)
NTH = (QNG, HVG)
RCP = (HBD, GPD)
SGX = (HXN, KJN)
XDK = (JFQ, MDQ)
LLQ = (VSX, FTS)
TXT = (QFL, TGB)
NRR = (VFF, GKM)
DGL = (DXC, RQL)
KKJ = (MGC, TCC)
QJQ = (QBP, LSF)
CPQ = (CSS, SKQ)
TFN = (VDL, QGK)
TVK = (SNV, TMK)
HJC = (KCS, MHQ)
VKJ = (KJK, BRQ)
HQH = (CRX, LRM)
PVJ = (VVV, PRX)
HHS = (SHT, HDT)
XDN = (MKC, KRM)
XGB = (FQH, TKM)
HXG = (XLT, GKX)
NMC = (QRB, NHS)
MFF = (GND, LHG)
JGT = (VPP, GCL)
LLX = (NXR, CQM)
BVK = (GKV, VMV)
NDV = (THG, THG)
CKN = (TPR, VMD)
FTK = (KQG, GHQ)
SGZ = (VXV, GBB)
KFN = (PJB, CKN)
DQM = (HBG, KTB)
LNJ = (MMB, BBM)
JJP = (VBJ, FXP)
XFS = (JSB, LSD)
GBB = (XTV, TLQ)
BJS = (SNB, SCS)
JNJ = (QHG, QHG)
TRJ = (XMX, JMD)
TVG = (HDH, STL)
AAA = (MRC, BFN)
BNV = (CSS, SKQ)
JHQ = (QFJ, SDH)
BVX = (NFB, VFG)
NDP = (VBH, NFJ)
NTD = (QFH, SXX)
NVL = (QRG, HTG)
VDP = (GRC, NCT)
MLK = (VTV, QTV)
JPX = (RDF, LVH)
PBD = (HGV, HGV)
RCF = (DFC, JXJ)
CVJ = (VVV, PRX)
DTL = (HNM, MMM)
VCX = (MFR, HQC)
VFF = (DFV, GLK)
MQK = (TVK, JLJ)
TKJ = (XFH, MTS)
SBX = (KMD, NDM)
VXV = (TLQ, XTV)
GRQ = (MGC, TCC)
NTV = (QSM, SST)
LVX = (BHF, CMX)
QXC = (XDQ, VLV)
QCL = (JLJ, TVK)
QXA = (GBB, VXV)
RKV = (PQQ, PQH)
QLD = (MNT, MNT)
LBQ = (TQJ, FCX)
NXT = (JVD, LVS)
CPX = (VFG, NFB)
KQG = (LNJ, CRT)
GHB = (TRQ, TLH)
TRF = (PDB, RKM)
SHQ = (JPQ, RKS)
NBD = (FCH, RJD)
CSG = (JPK, CPV)
DNR = (MGK, DPF)
TMX = (MGL, HBN)
KMD = (LVV, GPP)
TLV = (JNJ, FPR)
MCN = (DJD, FGF)
BSZ = (MFF, DJG)
GMV = (RSQ, HLN)
LCT = (KTV, BCC)
KPQ = (MPP, XQD)
VBH = (FXL, CJB)
NDK = (SCQ, FLR)
VTX = (PNN, DDR)
HGV = (DJG, MFF)
TRG = (BVG, SQB)
THG = (PGJ, PGJ)
SDB = (CMK, FTK)
NTM = (SLD, FRS)
KMJ = (PBM, SXJ)
MTM = (LLQ, HQS)
NFP = (GPD, HBD)
TKM = (NCC, TRG)
XMT = (PQQ, PQH)
THL = (TRC, KFN)
CPV = (JXP, DPD)
GVX = (HNT, MMN)
XSJ = (CJT, RMX)
HMB = (PCV, SHQ)
SRJ = (VDD, RST)
STT = (KGV, VNG)
LSH = (KPK, MTK)
CHD = (XQQ, CTF)
NFV = (GVX, FHK)
XDS = (PLJ, CHD)
BVP = (VKC, PNS)
VFJ = (GVN, XNN)
TSC = (JCN, SQS)
RGF = (GJG, QTG)
VMD = (PVJ, CVJ)
GPR = (GCB, VKP)
PNN = (CPK, QFP)
DKD = (PBM, SXJ)
FSJ = (QNG, HVG)
KGV = (SMV, DKC)
LSM = (DBR, DBR)
QLR = (LKJ, STN)
FLR = (GPR, HVJ)
NHC = (BCC, KTV)
LQS = (XML, LBQ)
NNM = (GGH, BXS)
FNF = (HQC, MFR)
MTS = (FTG, CNB)
FBB = (RCF, LXP)
JGK = (QGN, TJF)
SHR = (LQR, SBX)
QHD = (CJT, RMX)
LXF = (NRT, KFR)
PGR = (SPT, QLX)
PLJ = (CTF, XQQ)
DPF = (CSG, NMV)
MDQ = (DSR, ZZZ)
NLP = (HXN, KJN)
SJJ = (HTL, PGR)
GDQ = (SKV, HXP)
BPF = (KDC, BFD)
SXJ = (LKM, VPM)
VDJ = (NGJ, TCK)
JCN = (CGJ, CFS)
BJM = (KPK, MTK)
XLT = (LSM, GQF)
KHB = (VRV, VHX)
RKS = (STP, GLH)
CLT = (FLQ, RBD)
MMB = (FDL, CPL)
HVJ = (GCB, VKP)
LTX = (SRB, QVD)
KLN = (CKV, LCC)
PCS = (BKN, SGZ)
HDH = (HJC, GTL)
VBJ = (MTM, MHR)
QMK = (PLR, TLV)
THK = (QJH, RLR)
VHX = (JCG, GJM)
GKM = (DFV, GLK)
FXL = (KMJ, DKD)
LSD = (SKT, MDD)
FGF = (VDP, NGN)
TSL = (DGL, LHS)
VCT = (BDL, SVD)
MDD = (KRQ, NXT)
SML = (SGX, NLP)
FTG = (SFD, MQG)
QMM = (SQP, FPP)
TXM = (TCN, RRG)
LVB = (LDH, SMN)
KSX = (HGM, NNM)
LSF = (VPG, CXT)
LQQ = (LMF, NSC)
FRS = (XFS, HXH)
KTB = (NBP, VKT)
JJD = (HBG, KTB)
DFX = (XGR, MLH)
BBM = (CPL, FDL)
PQQ = (JXR, VLL)
DXC = (NDT, PMB)
KTT = (JBB, SJJ)
SFH = (NTH, FSJ)
XPL = (XFH, MTS)
CCD = (STL, HDH)
RTS = (KFQ, FTV)
MPM = (RTT, KRZ)
XBC = (PCF, DFJ)
HVX = (BMS, DBN)
SDH = (KGC, LXF)
HHF = (VMV, GKV)
FQM = (CCD, TVG)
LCC = (QLD, DLJ)
GCF = (VFJ, VGF)
HTG = (PHQ, THX)
CMK = (KQG, GHQ)
NFR = (GJX, TRT)
DTG = (HLN, RSQ)
VXB = (MGK, DPF)
NCC = (SQB, BVG)
CFS = (MPB, QMK)
VKN = (THG, BBV)
PQH = (VLL, JXR)
KDC = (DTF, VTN)
CDT = (PQG, GXT)
HVQ = (QNL, NVZ)
KTS = (VTK, DTL)
FCJ = (KBR, DFX)
CDX = (NGJ, TCK)
DCK = (VHR, PSM)
RNJ = (FGL, TSP)
NDX = (XML, LBQ)
DPD = (LVX, FJQ)
CGX = (KBJ, JJP)
TCK = (NFP, RCP)
JFQ = (DSR, DSR)
PCV = (RKS, JPQ)
HBQ = (GNR, SDB)
PSH = (FGV, KPH)
MHR = (HQS, LLQ)
SCQ = (HVJ, GPR)
SPT = (FHT, RLL)
GJX = (NPC, GFR)
CTF = (QGR, LLX)
LCS = (LMP, NDL)
RGH = (GCQ, JCT)
BBV = (PGJ, HVQ)
KFB = (MCM, RLH)
VHR = (VKM, LSR)
FJD = (XTH, SML)
FQH = (TRG, NCC)
NPC = (GPM, GLD)
DJD = (NGN, VDP)
XRH = (XBC, CNJ)
LMN = (LQR, SBX)
QFP = (NRX, TMX)
KPC = (MBS, MQV)
NMV = (CPV, JPK)
LBN = (GDN, PFB)
GCB = (BPF, CPC)
MDS = (FQM, XQX)
MRC = (NVL, PVP)
GFG = (RQS, CJM)
MCF = (DNQ, VJT)
VHQ = (KFN, TRC)
XFH = (FTG, CNB)
SRB = (FQP, DPP)
NBP = (HHF, BVK)
BQS = (GNN, QJM)
NDT = (MTB, JCB)
LPG = (SPK, TXF)
RST = (GHB, DRN)
HBN = (QXC, LLH)
LGK = (CMB, BVP)
QFJ = (KGC, LXF)
TTC = (KHC, MSV)
QHR = (LDF, HXG)
VKC = (VTS, FTF)
FTV = (CGX, NKT)
PCR = (THK, KBH)
NRX = (MGL, HBN)
SKV = (TQH, GFH)
FPR = (QHG, FMK)
PQG = (LCT, NHC)
BHD = (MVV, HNR)
XGJ = (VCL, QMM)
ZZZ = (BFN, MRC)
BLH = (GVL, CPD)
HJT = (BDN, FDX)
PBM = (LKM, VPM)
TRQ = (FHS, NFG)
JKR = (TGB, QFL)
JQV = (LCS, CNP)
SXX = (DCC, TSL)
CMB = (PNS, VKC)
MCM = (RNJ, LQX)
GLH = (FRL, CMN)
DNQ = (SLG, XGB)
FPP = (HDS, LQQ)
DMS = (BMS, DBN)
CNS = (SFH, NDC)
VTV = (KHB, BMQ)
HNR = (PBD, HTD)
GNN = (CPX, BVX)
KPK = (TDM, XPV)
GXJ = (GDD, HKN)
MFN = (VNG, KGV)
BVG = (XFL, HMP)
QRX = (QQX, DSP)
VTN = (XPL, TKJ)
QFH = (TSL, DCC)
GND = (PSH, SJM)
LVH = (PLH, TML)
QJM = (CPX, BVX)
NQQ = (VDL, QGK)
LQR = (KMD, NDM)
HXP = (TQH, GFH)
RSQ = (QKM, CCF)
PVP = (QRG, HTG)
RCB = (DRB, PQK)
SJM = (KPH, FGV)
CNP = (NDL, LMP)
LRN = (NNX, RCB)
SMV = (JKR, TXT)
HDS = (NSC, LMF)
VHD = (NTV, GDC)
TDM = (DQM, JJD)
BLP = (BRL, LNX)
JLK = (FPL, RTL)
FPL = (NTM, NFK)
FXP = (MTM, MHR)
LXP = (DFC, JXJ)
GQF = (DBR, XDK)
QKM = (HHS, LDR)
STN = (RPQ, JPX)
BSB = (PLX, MGH)
DPP = (TDN, TSC)
VMV = (QPR, GXG)
FQP = (TDN, TSC)
BPN = (GJX, TRT)
RLL = (XMT, RKV)
CJT = (VBG, NTD)
MQV = (LTF, KKG)
